time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T13:55:29.530Z,19.4015007,-155.2830048,0.24,1.95,ml,15,51,0.01074,0.19,hv,hv70678777,2018-11-01T14:01:12.290Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.35,0.22,12,automatic,hv,hv
2018-11-01T13:31:48.170Z,33.4916667,-116.7873333,4.3,0.76,ml,30,35,0.08459,0.16,ci,ci37410514,2018-11-01T13:35:27.104Z,"9km NE of Aguanga, CA",earthquake,0.19,0.47,0.117,20,automatic,ci,ci
2018-11-01T13:28:37.250Z,37.618,-119.1391678,2.88,2.63,md,29,114,0.04958,0.06,nc,nc73104791,2018-11-01T13:48:02.939Z,"14km W of Mammoth Lakes, CA",earthquake,0.36,0.59,0.26,26,automatic,nc,nc
2018-11-01T13:27:07.910Z,33.5143333,-116.7983333,4.11,0.57,ml,23,41,0.002583,0.12,ci,ci37410506,2018-11-01T13:30:53.974Z,"10km NE of Aguanga, CA",earthquake,0.18,0.38,0.112,17,automatic,ci,ci
2018-11-01T13:17:18.260Z,34.1663333,-117.639,8.2,1.59,ml,42,43,0.04553,0.19,ci,ci37410482,2018-11-01T13:28:02.600Z,"7km NW of Rancho Cucamonga, CA",earthquake,0.25,0.61,0.156,28,automatic,ci,ci
2018-11-01T13:17:07.077Z,61.6655,-150.975,55,1.9,ml,,,,0.47,ak,ak20308803,2018-11-01T13:22:10.261Z,"50km W of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-01T13:03:54.130Z,33.4761667,-116.4843333,10.54,0.61,ml,24,142,0.09,0.18,ci,ci37410458,2018-11-01T13:07:40.871Z,"20km ESE of Anza, CA",earthquake,0.42,0.65,0.12,14,automatic,ci,ci
2018-11-01T13:02:09.027Z,59.5287,-138.899,1.1,3,ml,,,,0.85,ak,ak20308649,2018-11-01T13:07:11.859Z,"46km E of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T13:00:59.860Z,38.8325005,-122.793335,1.59,0.8,md,9,180,0.006346,0.02,nc,nc73104786,2018-11-01T13:15:03.737Z,"6km W of Cobb, CA",earthquake,0.62,0.47,0.06,2,automatic,nc,nc
2018-11-01T12:50:12.840Z,33.505,-116.797,2.87,1.16,ml,50,30,0.007865,0.15,ci,ci37410442,2018-11-01T13:01:12.740Z,"9km NE of Aguanga, CA",earthquake,0.15,0.58,0.103,27,automatic,ci,ci
2018-11-01T12:40:41.848Z,69.3717,-144.1036,0,2.4,ml,,,,0.57,ak,ak20308646,2018-11-01T12:54:14.453Z,"86km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T12:31:03.120Z,33.439,-116.4311667,4.55,0.44,ml,16,164,0.1396,0.23,ci,ci37410434,2018-11-01T12:34:40.659Z,"21km NNW of Borrego Springs, CA",earthquake,0.49,1.09,0.149,8,automatic,ci,ci
2018-11-01T12:06:27.160Z,18.8614998,-155.1786652,16.39,2.22,md,57,261,0.3967,0.27,hv,hv70678697,2018-11-01T12:10:00.590Z,"49km SE of Pahala, Hawaii",earthquake,1.67,19.28,0.14,10,automatic,hv,hv
2018-11-01T12:05:30.520Z,37.4476662,-121.8011703,5.53,1.58,md,14,86,0.002752,0.04,nc,nc73104776,2018-11-01T13:51:04.956Z,"9km NNE of Alum Rock, CA",earthquake,0.36,0.39,0.16,12,automatic,nc,nc
2018-11-01T11:53:47.559Z,61.9977,-150.556,14.7,1.9,ml,,,,0.97,ak,ak20308641,2018-11-01T11:57:23.690Z,"39km NW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T11:51:09.040Z,36.5397,-116.2335,7.8,0.4,ml,7,183.68,0.083,0.16,nn,nn00663716,2018-11-01T11:52:19.082Z,"43km NNW of Pahrump, Nevada",earthquake,,11.5,,,automatic,nn,nn
2018-11-01T11:49:36.030Z,33.4983333,-116.7978333,3.06,0.48,ml,19,80,0.01416,0.12,ci,ci37410410,2018-11-01T11:53:12.683Z,"9km NE of Aguanga, CA",earthquake,0.24,0.64,0.131,13,automatic,ci,ci
2018-11-01T11:49:17.260Z,36.5417,-116.2182,1.7,0.1,ml,8,199.61,0.129,0.07,nn,nn00663715,2018-11-01T11:51:59.291Z,"42km NNW of Pahrump, Nevada",earthquake,,10.2,,,automatic,nn,nn
2018-11-01T11:48:39.280Z,33.493,-116.7948333,2.74,1.25,ml,52,33,0.01986,0.2,ci,ci37410402,2018-11-01T11:59:58.590Z,"9km NE of Aguanga, CA",earthquake,0.19,0.44,0.123,28,automatic,ci,ci
